topic_id,count,name,keywords,scores
40,4977,40_saf_scholarship_sign_degree,"saf, scholarship, sign, degree, career, scholarships, signing, on, uni, officer","0.0196, 0.0114, 0.0075, 0.0045, 0.0044, 0.0043, 0.0043, 0.0038, 0.0038, 0.0037"
41,2367,41_wisdom_tooth_teeth_extraction,"wisdom, tooth, teeth, extraction, dental, dentist, surgery, referral, polyclinic, removal","0.0591, 0.0489, 0.0303, 0.0265, 0.0239, 0.0211, 0.0205, 0.0155, 0.0146, 0.0136"
42,2370,42_disruption_disrupt_uni_cohort,"disruption, disrupt, uni, cohort, disrupted, university, year, ord, date, poly","0.0536, 0.0355, 0.0220, 0.0117, 0.0100, 0.0088, 0.0080, 0.0078, 0.0073, 0.0068"
43,2899,43_sleep_insomnia_sleeping_wake,"sleep, insomnia, sleeping, wake, hours, rest, uninterrupted, night, asleep, apnea","0.0416, 0.0226, 0.0132, 0.0111, 0.0102, 0.0077, 0.0073, 0.0068, 0.0063, 0.0059"
44,3743,44_scdf_station_scc_fire,"scdf, station, scc, fire, ffc, firefighter, rota, brt, rcc, rescue","0.0359, 0.0132, 0.0121, 0.0104, 0.0094, 0.0085, 0.0081, 0.0078, 0.0070, 0.0067"
45,2030,45_powerbank_wall_power_plug,"powerbank, wall, power, plug, charger, bring, charge, powerbanks, plugs, bank","0.0369, 0.0354, 0.0300, 0.0270, 0.0264, 0.0209, 0.0203, 0.0195, 0.0187, 0.0186"
46,4648,46_gedong_bus_camp_shuttle,"gedong, bus, camp, shuttle, mrt, sungei, sembawang, walk, jurong, selarang","0.0307, 0.0259, 0.0172, 0.0141, 0.0120, 0.0109, 0.0073, 0.0072, 0.0069, 0.0068"
47,3318,47_ord_lo_loh_mood,"ord, lo, loh, mood, ed, days, months, happy, mode, closer","0.0756, 0.0257, 0.0218, 0.0123, 0.0082, 0.0077, 0.0068, 0.0064, 0.0063, 0.0053"
48,3580,48_mindef_scam_patent_gt,"mindef, scam, patent, gt, call, cyber, mainframe, scammers, this, defence","0.0619, 0.0055, 0.0052, 0.0045, 0.0042, 0.0038, 0.0035, 0.0034, 0.0034, 0.0033"
49,2736,49_days_ord_left_wgt,"days, ord, left, wgt, countdown, 22, count, fast, 03, months","0.0605, 0.0235, 0.0139, 0.0137, 0.0098, 0.0089, 0.0084, 0.0082, 0.0078, 0.0076"
50,1957,50_smoke_smoking_smokers_smoker,"smoke, smoking, smokers, smoker, vape, cigarettes, vaping, underage, caught, quit","0.0484, 0.0407, 0.0240, 0.0184, 0.0183, 0.0143, 0.0116, 0.0115, 0.0094, 0.0080"
51,3042,51_death_gt_mindef_scdf,"death, gt, mindef, scdf, fire, nsf, died, incident, his, news","0.0100, 0.0082, 0.0074, 0.0072, 0.0065, 0.0064, 0.0063, 0.0059, 0.0054, 0.0051"
52,2985,52_rsaf_pilot_wso_sign,"rsaf, pilot, wso, sign, air, pilots, aeromedical, interview, fighter, syfc","0.0424, 0.0297, 0.0103, 0.0079, 0.0078, 0.0076, 0.0075, 0.0068, 0.0063, 0.0062"
53,6081,53_pay_nsfs_allowance_nsf,"pay, nsfs, allowance, nsf, paid, increase, salary, tax, nsmen, money","0.0158, 0.0114, 0.0110, 0.0092, 0.0082, 0.0072, 0.0071, 0.0065, 0.0063, 0.0058"
54,4366,54_mc_mcs_mo_endorse,"mc, mcs, mo, endorse, days, take, camp, taking, sick, he","0.0490, 0.0133, 0.0127, 0.0080, 0.0062, 0.0058, 0.0056, 0.0047, 0.0043, 0.0042"
